company,description,exp_level,location,placing_date,salary,title
Newxel,"We are looking for a driven, self-motivated Senior Back-End Developer (Python) who strongly desires to achieve our partner’s growth goals. In this role, you will partner with Data Engineers, Machine Learning Developers, and other Senior leads to build tools and features to help fight the ever-growing problem of cybercrime. If you love a fast-paced, rewarding challenge, hungry to chase down answers, join this rapidly growing team today! Requirements BSC in Computer Science/Software Engineering  Experience driving technical design decisions for highly scalable backend systems 4+ years of hands-on experience and in-depth knowledge of Python (Flask/Django) As for a Senior Back-End developer, we expect extensive experience in Web Development Experience writing detailed design documents and technical specifications Experience working with Databases (PostgreSQL/Cassandra — advantage) Operating services and infrastructure in Cloud environments (AWS — advantage) Passion for solving complex problems that haven’t been solved before Responsibilities Innovate and evolve cutting-edge AI-powered Email security platform Collaborate with Product and Engineering teams to understand roadmap priorities Carry feature requirements from an early phase to full implementation Design and develop new capabilities in a dynamic and changing environment Build a high-performance and highly available platform and design new prototypes Write Python code focused on scalability, testability, supportability and maintainability Utilize Machine Learning capabilities Participate in architecture, code, security and operational reviews Contribute to ongoing strategic planning and design of future features What we offer Competitive salary and benefits package Medical insurance Tax compensation Full Remote Collaborative and innovative work environment Career growth and development opportunities A chance to work with a talented and driven team of professional About the project A worldwide anti-phishing company introduces a very secure email platform (powered by AI and ML) that provides an innovative solution to prevent fraud and email attacks. Thanks to the Israel Defence Forces and a top incubator program, this award-winning platform helps prevent and block any attacks in the fastest way. The company provides all types of businesses with a complete solution against any kind of phishing attack in the mailbox.",5plus,віддалено,22 жовтня 2024,,Senior Back-End Developer (Python)
Quintagroup,"About the project We are collaborating with a European company specializing in the production of solar panels and IoT solutions. Our projects involve cutting-edge technology in the renewable energy sector, combining hardware innovation with sophisticated software solutions. Role Description We are seeking an experienced Python Developer/Architect specializing in IoT software stack architectures to join our innovative team. The ideal candidate will play a crucial role in designing and implementing our IoT solutions, with a particular emphasis on edge computing. Key Responsibilities: Design and architect IoT software stacks, with a focus on edge computing solutions Develop and implement Python-based IoT applications and systems Create and maintain dashboards for visualizing sensor data from solar panel systems Collaborate with hardware teams to integrate software solutions with solar panel technology Work closely with clients and internal teams to understand requirements and deliver optimal solutions Ensure scalability, reliability, and security of IoT architectures Mentor and guide other developers in IoT best practices and Python development Requirements: Strong proficiency in Python programming Extensive experience in designing and implementing IoT architectures, especially edge computing solutions Deep understanding of IoT protocols (e.g., MQTT, CoAP) and edge computing paradigms Knowledge of cloud platforms and their IoT services  Understanding of RESTful APIs and microservices architecture Familiarity with version control systems B2+ level of spoken English Preferred Qualifications: Experience in the renewable energy sector, particularly with solar technology Knowledge of machine learning and its applications in IoT Familiarity with hardware interfaces and sensor integration Understanding of security best practices in IoT environments What We Offer: Opportunity to work on innovative projects in the renewable energy and IoT sectors Collaborative environment with direct client interaction Chance to work with cutting-edge technology in solar energy and IoT Competitive salary and benefits package Professional growth and learning opportunities",5plus,Львів,22 жовтня 2024,,Python Developer/Architect (IoT)
NerdySoft,"NerdySoft продовжує зростати та зараз у пошуку талановитого та проактивного  Senior Python -інженера! Вимоги:  6+ років досвіду роботи з Python; Практичний досвід роботи з базами даних PostgreSQL/MySQL/MsSQL; Глибоке розуміння архітектури веб-додатків, зокрема побудови різних компонентів (frontend, backend, бази даних); Досвід роботи з Django та Javascript (додаткові фреймворки/бібліотеки — плюс); Досвід створення інтеграційних додатків з використанням різноманітних API (REST, SOAP); Досвід інтеграції з SalesForce буде значною перевагою; Глибокі знання принципів OOP, практичної архітектури та DDD (Domain-Driven Design); Знайомство з гнучкими методологіями розробки (Agile, Scrum); Ступінь бакалавра в галузі комп’ютерних наук або іншій відповідній сфері; Сильні аналітичні та проблемно-орієнтовані навички, здатність працювати автономно і ефективно вирішувати складні технічні завдання; Відмінні комунікаційні навички та вміння працювати в команді; Рівень англійської — B2 і вище. Обов’язки: Архітектура та проектування інтеграційного модуля між SalesForce та 3rd party systems;  Обробка, структурування та трансформація великих об’ємів даних; Створення та підтримка API, сервісів та системи; Докладення зусиль для покращення інженерних процесів та стандартів кодування; Розробка та створення нових функцій; Дослідження та використання сторонніх інструментів для вирішення внутрішніх інженерних завдань; Створення нових інструментів для наших операційних команд або вдосконалювати існуючі інструменти; Консолідування даних з різних платформ. Ми пропонуємо: Довготривалу та плідну співпрацю; Гнучкий графік роботи та можливість працювати віддалено; Комфортний, сучасний офіс у центрі Львова, що обладнаний генератором та старлінком; Регулярний перегляд компенсації за результатами співпраці; 18 робочих днів щорічної оплачуваної відпустки(+2 додаткові дні за лояльність до компанії) та 25 оплачуваних лікарняних; Медичне страхування або компенсація витрат на спортивні активності; 50% компенсації за сертифікації, конференції, тренінги та інше професійне навчання; 50% компенсації за курси англійської мови. Про проєкт: Наш клієнт — американська фінтех компанія, що фокусується на кредитних послугах, створюючи більш інклюзивний у фінансовому плані світ. Разом із ним команда NerdySoft наполегливо працює над тим, щоб спростити фінансові послуги для заявників, які не отримують належних послуг, шляхом створення установи, яка використовує дані з різних країн, кращу оцінку кредитного ризику та операційну ефективність. Наразі, ведеться розробка повноцінного кастомер кредит продукту з нуля та імплементація декількох аплікацій для різних юзерів. В системі планується використання різноманітних інтеграцій, а також ітеративне розгортання системи та активне використання A/B експериментів та аналітики.",5plus,"Львів, віддалено",21 жовтня 2024,,Senior Python Developer
Lyft,"At Lyft, our mission is to improve people’s lives with the world’s best transportation. To do this, we start with our own community by creating an open, inclusive, and diverse organization. Lyft’s engineering team is expanding rapidly, and we are seeking talented Software Engineers to join our Pay Productivity team. Our engineers are innovative, adaptable, and passionate about tackling complex problems. They thrive in an environment that values organizational transparency, career growth, mentorship, and constructive feedback. Our engineers deploy code to production continuously, and they depend on their team to enhance productivity by eliminating obstacles and maintaining streamlined processes. The mission of the Pay Productivity team at Lyft is to provide best-in-class, reliable, transparent and cost-effective payments platform to all Lyft products. The team is responsible for ensuring that all Lyft products — Rideshare, Bikes, Scooters, Subscription etc are able to cost effectively process payments, both, pay-ins and pay-outs. This means processing tens of billions of dollars in customer payments and driver payouts every year. The team also builds platform capabilities to support innovative payment products, some of the recent ones include Daily Billing, Lyft Cash, Lyft Direct, Subscriptions and several others. The team owns the integration with our 3rd party payment processors, co-brand partners and gift card program managers. Responsibilities: Be responsible for, design, develop, deploy, monitor, operate and maintain existing or new elements of our payment processing capabilities Maintain, improve, and develop tooling and systems that enhance the reliability, scalability, and efficiency of our platform Unblock, support and communicate with internal partners to achieve results Have a good grasp and ability to explain the various trade-offs made in decisions Participate in our team’s on-call rotations, respond to incidents, and support other teams to mitigate customer-impacting events Share your knowledge by giving brown bags, tech talks, and promoting appropriate tech and engineering best practices Help leading large projects from idea to positive execution Experience: BS/MS or equivalent in Computer Engineering, Computer Science, or related field or relevant work experience 4+ years of software engineering industry experience with Go/Python/Scala/Java/.Net/etc. Experience designing, debugging and running fault-tolerant, highly available, large-scale distributed systems Experience working with public cloud platforms (e.g., AWS, GCP, Microsoft Azure, etc.) Experience working with databases, relational or NoSQL Write clear, scalable and clear design documentation Must have a track record of professional excellence Benefits: The latest technology and equipment you need. 28 calendar days for vacation and up to 5 paid days off. 18 weeks of paid parental leave. Biological, adoptive and foster parents are all eligible. Mental health benefits. Family building benefits.",5plus,"Київ, віддалено",21 жовтня 2024,,Backend Engineer — Payments
NCube Ltd.,"We are looking for a Senior Full Stack Developer to join our client’s dynamic team. You will be working on the development of innovative solutions that leverage satellite data for environmental monitoring. This is an exciting opportunity to be at the forefront of space and environmental technology.  

   Client  — a cutting-edge Finnish company specializing in space technology, particularly in satellite data and environmental monitoring. The company focuses on developing and managing constellations of nanosatellites equipped with hyperspectral technology. These satellites are designed to monitor environmental conditions, track climate change, and support agricultural activities by collecting valuable Earth observation data.  

  

 Technologies You’ll Work With:  

  Mapbox — for interactive maps and spatial data visualization     React — for building responsive and dynamic user interfaces     GDAL + Rasterio + Python — for processing geospatial data and working with satellite imagery     Postgres + PostGIS — for handling geospatial databases and large datasets   

   Bonus Skills:  

  Google Cloud Platform (GCP) — for deploying scalable cloud-based solutions     Kubernetes — for managing containerized applications and orchestration     FastAPI — or experience with any other Python web framework (e.g., Django, Flask)   

  

 Requirements:  

  Strong experience with front-end technologies (React) and back-end (Python, Postgres)     Experience with geospatial technologies (Mapbox, GDAL, PostGIS)     Familiarity with cloud platforms like GCP and container orchestration tools like Kubernetes is a plus     Strong problem-solving skills and an ability to work independently or as part of a team     Proficient in English   

  

 Responsibilities:  

  Software development of the client’s service platform     Work closely with the geospatial data team to implement solutions that process and analyze large-scale datasets     Create interactive data visualizations using Mapbox and React to present complex environmental data in an accessible way     Optimize data processing pipelines using Python, GDAL, and Rasterio   

  

 We offer:  

  Competitive salary with the regular review     Medical Insurance after 3 months’ probation period (can be used in Ukraine)     Vacation (up to 20 working days)     Paid sick leaves (10 working days)     National Holidays as paid time off     Online English courses     Accountant assistance and legal support     Flexible working schedule, remote, office-based or hybrid format     Fully equipped perfect office space located in the city center (ready for work in blackouts)     Direct cooperation with the customer     Dynamic environment with low level of bureaucracy and great team spirit     Challenging projects in diverse business domains and a variety of tech stacks     Communication with Top/Senior level specialists to strengthen your hard skills     Online/offline teambuilding’s     Volunteering culture development and support",5plus,"Київ, віддалено",21 жовтня 2024,,Senior Full Stack Developer — (Python/React/GIS)
SPD Technology,"At SPD Technology, we bring together a team of like-minded people who are driven by the desire to bring value through their work, united in their commitment to high performance and delivering custom, cutting-edge tech solutions that drive clients’ growth. We empower our people with a culture of excellence and enable them with the opportunity to uphold their accountability to contribute on each level. We value humanity and collaboration, encourage professional and personal growth, and foster a supportive and flexible work environment where everyone’s contribution is welcomed.  We are seeking a  Python/Django Full-Stack Engineer . About the project CashStar is a digital gift card platform that allows retailers and businesses to sell and manage eGift cards online. Specializing in mobile and digital gift card services, it offers customizable solutions for brands. In 2017, CashStar was acquired by Blackhawk Network, a global leader in prepaid and payment technologies, to strengthen its presence in the digital gift card market and enhance its eCommerce and mobile solutions portfolio. Blackhawk Network focuses on issuing, distributing, and managing gift cards, as well as processing payments, exchanging, and refilling them. Additionally, the company handles a variety of digital content such as eGifts, incentive cards, promotions, and rewards. Blackhawk Network operates multiple e-commerce platforms to distribute gift card products and provides essential services to support the entire gift card ecosystem. The first project you will be involved in focuses on automating the customer onboarding process. You’ll work with the following stack:   Python, Django, Django REST, Django ORM, React, MySQL, S3, RabbitMQ, Redis, Docker. Team:   Now it is 1 Tech Lead on the client side and 2 full-stack engineers from SPD. Later the team can be merged with another team on the same product. There are a few other bigger teams, 1 in the US and 3 in India.  Team processes:   Scrum Work schedule:   flexible, can be shifted to late hours if it’s Central EU (for example from  11-12:00  till  20-21:00). We’re looking for you if you have: 4+ years of professional experience in software development; Commercial experience working with a large codebase and big number of microservices, ability to analyze and learn existing code and business logic fast; Proven solid experience with Python, Django/Django REST frameworks; Strong experience with SQL and NoSQL databases, including Django ORM; Good working understanding of Docker; Required: Upper-intermediate English (B2 and above), fluent Ukrainian (spoken and written). Would be a plus: Commercial hands-on experience with JS/React; Commercial hands-on experience with AWS S3, RabbitMQ, Redis, Memcached, ELK stack; E-commerce experience (orders, transactions, payments, fulfillment, inventory, taxes, etc.). Sounds like you? Here are some of what you’ll be doing: Building business logic for eGift-card white-label shop; Creation of a new microservice for internal assets management; Implement new features, making existing code better, investigate issues in production; Writing unit tests; Participating in design and code reviews, planning meetings; Communicate effectively with teammates, other teams, business representatives. What’s in it for You Reveal great tech solutions Join the team of experts who create custom, cutting-edge tech solutions for world-renowned businesses, fueling client growth. Unleash your potential, tackle new challenges, and be part of a team that values your skills and contributions. Focus on long-term impact and building tailored, long-lasting partnerships with our clients. Experience an agile and flexible working environment Enjoy the freedom of fully remote work with a flexible working schedule. Empower yourself with a stable workload and a stable income, supported by provided laptops and licensed software. We focus on lasting cooperation and unite result-oriented individuals who stand on a high-performance approach to work. Embrace the opportunity for personal and professional growth Benefit from performance and merit reviews, elevate your skills with personal development plans, and individual learning through the corporate library, public speaking support, and more. Be among like-minded people Work with a team of one mind who cares about what they do and how they do. Collaborate with top-notch experts who are always ready to help and support you through any challenges. Join company-wide tech and cultural events, and contribute to meaningful CSR initiatives that resonate with your values. Feel supported by your HR, and take advantage of our referral bonus program. Interview steps Pre-screen with the recruiter; Managers Interview; Technical interview; Client Interview.  Embrace the opportunity to innovate with us!",5plus,за кордоном,21 жовтня 2024,,Python/Django Engineer
Leobit,"Leobit ( leobit.com ) is a full-cycle web and mobile application development provider for the technology companies and startups primarily located in the US, Canada, Australia, the UK, and the EU. Our technology focus covers .NET, Angular, React, iOS, Android, Ruby, PHP and a comprehensive range of other technologies from Microsoft, Web, and Mobile Stacks. We are looking for  a   Machine Learning/Deep Learning — Python Engineer  to join our team. Requirements: Proficiency in full-stack data science tools, including data wrangling, iterative analysis, and batch processing Familiarity with leading machine learning/deep learning libraries such as sklearn, PyTorch, and Lightning Experience with model industrialization tools, including quantization, ONNX, Docker, etc. Knowledge of MLOps practices and pipeline development for continuous integration and deployment Efficient handling of large datasets: processing, clustering, filtering, indexing, and querying Experience with automated model training and deployment processes Strategic data analysis and research, including statistical tests, error propagation, and identification of clusters and outliers Cloud expertise, including AWS and/or Azure Cloud Services (would be a plus) Strong SQL and NoSQL skills Solid understanding of data structures Experience in Frontend (Angular) (would be a plus) Experience with compiled languages such as C#, C++, or others (would be a plus) Bachelor’s or Master’s degree in Mathematics or Statistics, with a strong focus on applied technologies (or similar technical field) Level of English: Upper-Intermediate (at least) Responsibilities: Develop efficient workflows for feature extraction and data processing, focusing on managing CAD, 2D, and various datasets (both raw and filtered) for Machine Learning applications Design, engineer, and take responsibility for cloud services, APIs, automated model training and deployment, as well as build tools Oversee the full lifecycle of services — from proof of concept (POC) to production-ready implementation Gain in-depth knowledge of interconnected cloud, data, computer vision, and machine learning services across multiple programming languages and platforms Develop and maintain services for optimization and machine learning Analyze and manage 2D/3D/CAD datasets Lead the development of solutions for 2D drawing and computer vision problems We offer: Interesting and challenging projects Competitive compensation and regular results-based salary review A broad range of professional education and personal development possibilities Comfortable and cozy working environment  Motivated colleagues with profound knowledge of the technical field Аttractive compensation package Accelerate your career with Leobit!",5plus,Львів,21 жовтня 2024,,Machine Learning/Deep Learning — Python Engineer
NCube Ltd.,"We are looking for a high-performance Full Stack Developer for our client — a Swedish company, specializing in data quality management, test automation, and DataOps. Their focus is on providing a comprehensive data quality automation framework.  

 Project — solutions that help organizations improve their software and data testing processes, streamline workflows, and enhance data quality in various environments, including data warehouses and BI landscapes.   

  

 Must have:  

  5+ years of experience in Full Stack development   

  Strong Leading experience   

  Expertise in Python, FastAPI, Celery, and PostgreSQL for backend development   

  Proficiency in modern front-end frameworks like React, Ant Framework, and Bootstrap   

  Strong experience with microservices architecture and containerized environments   

  Familiarity with Microsoft Azure Stack, including AKS, Azure Container Instances, and VMs   

  Proficient in using Docker and Docker Compose for development and deployment   

  Experience with Robot Framework for test automation   

  Upper-Intermediate English and better   

  

 Responsibilities:  

  Design and develop scalable, high-performance backend services using FastAPI, Python, Celery, and PostgreSQL   

  Take charge of development efforts while managing Azure infrastructure, including virtual machines, Docker, and deployment pipelines, to ensure smooth, efficient operations   

  Build responsive and dynamic user interfaces with React, Ant Framework, and Bootstrap   

  Design, deploy, and maintain a robust microservices architecture for backend and frontend components, ensuring modularity and ease of maintenance   

  Participate in code reviews, architectural design discussions etc.   

  

 We offer:  

  Competitive salary with regular review  

  Medical Insurance after 3 months’ probation period (can be used in Ukraine)   

  Vacation (up to 20 working days)  

  Paid sick leaves (10 working days)  

  National Holidays as paid time off (11 days)   

  Online English courses   

  Accountant assistance and legal support  

  Flexible working schedule, remote, office-based, or hybrid format  

  Fully-equipped perfect office space located in the city center (ready for work in blackouts) 

  Direct cooperation with the customer 

  Dynamic environment with a low level of bureaucracy and great team spirit",5plus,"Київ, за кордоном, віддалено",21 жовтня 2024,,Lead Full Stack (Python + React) Developer
N-iX,"We are looking for a talented  Senior Java Engineer (with Kotlin&Python skills)  to join our team. Our California-based customer is an American global e-commerce leader, one of the most popular and successful websites on the Internet. It provides platform services by connecting millions of sellers and buyers in more than 190 markets around the world.  The Senior Kotlin Engineer will be a part of the AI Core team to bring new experiences for sellers and buyers leveraging Machine Learning models and other Artificial Intelligence tools to maximize the fun and accuracy of the shopping experience.  Main Responsibilities: Design and develop a robust and extensible Kotlin library for configuring and managing LLM agents Write clean, maintainable, and efficient code that complies with our coding standards Ensure the performance, quality, and responsiveness of the library Identify and correct bottlenecks and errors Help to maintain code quality, organization, and automatization. Create and maintain technical documentation for the library Role Requirements: At least  4-5  years of proficiency with Kotlin and Java At least 2 years of proficiency in Python Deep experience with the Spring Framework  Reactive tools experience  Strong understanding of object-oriented programming and design patterns Experience in creating libraries and frameworks for other developers  Proficiency in Maven or similar tools  Familiarity with AI, machine learning, and natural language processing concepts is a plus Very good spoken and written knowledge of the English language (C1) BSc or MSc in Computer Science, Engineering or a relevant field Nice to have: Familiarity with NoSQL databases    We offer: Flexible working format — remote, office-based or flexible A competitive salary and good compensation package Personalized career growth Professional development tools (mentorship program, tech talks and trainings, centers of excellence, and more) Active tech communities with regular knowledge sharing Education reimbursement Memorable anniversary presents Corporate events and team buildings Other location-specific benefits",5plus,"Бухарест (Румунія), Краків (Польща), Софія (Болгарія), Вроцлав (Польща), віддалено",21 жовтня 2024,,Senior Java Engineer (with Kotlin&Python skills) (#2124)
Treeum,"Treeum  — продуктова  FinTech -компанія. Ми розробляємо платформи, прості та зручні сервіси, які дозволяють користувачам легко вибрати і замовити фінансові послуги. Зараз ми шукаємо  Senior Python Developer , для проєкту  Валютний Аукціон  (Валютний напрямок). Задачі на посаді : Розробка, підтримка та оптимізація мікросервісів на Python з акцентом на асинхронну роботу.  Оптимізація взаємодії з базами даних для забезпечення ефективного зберігання та обробки даних. Використання RabbitMQ для налаштування обміну повідомленнями між сервісами. Підтримка та створення нових інтеграцій з зовнішніми сервісами.  Проєктування та розробка нових сервісів за бізнес-вимогами. Наші очікування: Знання принципів мікросервісної архітектури.  Досвід роботи з Python не менше 5 років, включаючи асинхронні фреймворки FastAPI та синхроні Eve (Flask), Dramatic.  Високий рівень знань у реляційних та нереляційних базах даних MongoDB, ElasticSearch, Redis і TimescaleDB.  Досвід роботи з брокером повідомлень такими, як RabbitMQ.  Досвід роботи з бібліотеками python Pydantic, pymongo, motor, SQLAlchemy, alembic, а також python-requests або aiohttp для асинхронної взаємодії з API.  Навички інтеграції з зовнішніми сервісами. Буде плюсом: Досвід роботи з CI/CD інструментами та налаштування пайплайнів на GitLab та їх підтримка.  Знання Kubernetes для розгортання та управління кластерами контейнерів.  Навички роботи з хмарними сервісами, такими як AWS або Google Cloud.  Досвід роботи з великими даними та аналітичними сервісами. Ми пропонуємо: Формат роботи fully remote, або гібридний з можливістю відвідування автономного офісу open space поруч з метро Палац України у місті Києві за потреби кандидата Достойний рівень заробітної плати та гідне ставлення до працівника Корпоративну програму бенефітів: доступ до медичного страхування, підтримку ментального здоров’я, компенсацію професійного навчання, чи інших категорій на вибір Оплачувану відпустку, лікарняні та додаткову матеріальну підтримку в надзвичайних ситуаціях Відкритість до нових ідей та персональний вплив на розвиток бізнесу  Доєднайся до компанди, яка змінить майбутнє українського фінтеху.",5plus,"Київ, віддалено",18 жовтня 2024,,Senior Python Developer
OnHires,"As a python developer and monetization lead, you will drive the development and communication around monetizing a cutting-edge product suite of AI based services. You will collaborate with technical teams and business partners to maximize the value delivered to users through API and backend functionalities Key Responsibilities Lead the development of APIs and related functionalities using Python, focusing on delivering value to end users. Provide expert technical support to validators looking to monetize their infrastructure. Track, analyze, and report on API usage, product adoption, and monetization performance. Communicate effectively with internal teams and external partners, generating technical reports and addressing stakeholder inquiries. Required Skills & Qualifications Proven expertise in Python, with experience with API development and backend systems. Experience with monetization strategies for software platforms.particularly within decentralized networks (blockchain, AI inference, etc.). Strong communication skills, capable of creating technical reports and engaging with customers and partners. Passion for emerging technologies, such as blockchain and AI, with demonstrated problem-solving abilities and adaptability. Bonus Qualifications Experience with AI development, ML engineering or working with AI-driven systems. Familiarity with web3, blockchain and/or decentralised networks. Familiarity monetization techniques for digital services. Experience with devops and cloud deployment If you’re passionate about emerging tech and monetization strategies, we want to hear from you!",5plus,віддалено,18 жовтня 2024,,Senior Python Developer
Corva.AI,"About Corva Corva has built a first-of-its-kind energy app store on a bedrock of best-in-class technologies, data pipelines, and a secure and scalable architecture. Our energy solutions solve today’s toughest well delivery challenges, from well design through drillout. The ever-evolving platform is not only future-proof for digitizing operations but is your toolkit to accelerate sustainability and energy transition goals. Our platform is built for speed and reliability and delivers unmatched features and capabilities. Corva is powering worldwide innovation by driving efficiency, productivity, and profitability with our innovative energy solutions. Technology Stack Python 3.9, Asyncio, Pytest, AWS(Lambda, SQS, S3), MongoDB, Redis, Kafka, Docker & k8s. (Go, TS, Java, Ruby, Node used in other teams) Responsibilities and Duties: Design and Develop:  Architect and deliver efficient, well-documented, and highly readable code that sets the standard for quality. Continuous Learning:  Dive into new technologies and product disciplines, driving innovation within your team. Project Leadership:  Define development plans based on project requirements and ensure timely delivery while maintaining flexibility for changes. System Stability:  Oversee the stability of your projects and monitor overall system health, ensuring smooth operation post-release. Collaborative Code Reviews:  Lead code reviews with peers, fostering a culture of continuous improvement and best coding practices. Qualifications and Skills: Experienced Developer:  Minimum of 5 years of hands-on experience with Python, working on large-scale projects that challenge your problem-solving skills. Database Knowledge:  Familiarity with NoSQL databases and the ability to design data models that perform well. Effective Communicator:  Comfortable presenting ideas and technical details clearly to internal teams. People Management Skills (Plus):  Experience in mentoring or leading small teams is a bonus, as the role offers opportunities to grow into a Backend Lead position. What We Offer: Innovative Product Company:  Be part of a company with a long-term vision that values sustainable growth. High-Performing Team:  Join a talented team that supports your professional growth and values your expertise. Career Growth:  Opportunity to step up as a Backend Lead, leading projects and mentoring other team members. Impactful Work:  Take ownership of projects that directly affect our users, product, and business strategy. Comprehensive Benefits:  Enjoy medical insurance, sport compensation, and other perks that support your well-being. Flexible Work Arrangement:  B2B contract with a US-based company, allowing for a remote-first setup that fits your lifestyle.",5plus,віддалено,17 жовтня 2024,,Senior Backend Developer (Python)
VeryBusy | Premium staffing services for tech companies,"Про компанію: відома українська продуктова ІТ компанія з головним офісом в Києві, яка створює продукти для iOS і macOS користувачів. Продукти-хедлайнери компанії — це нативні та web додатки для macOS, які щоденно очищають та захищають мільйони маків по всьому світу, а також дають необмежений доступ до багатьох додатків для полегшення виконання щоденних задач. Додатки компанії налічують більше ніж 30 млн активних користувачів у всьому світі. Шукаємо  Senior Python Engineer,  який прагне в майбутньому брати більше leadership відповідальностей та вже вміє оунити бекенд-частини продуктів, від безпосередньої розробки необхідних частин до підтримки функціоналу. Окрім глибокої технічної експертизи, для нас також важливі soft skills за напрямком самостійність і проактивність. Основні задачі, що очікують в цій ролі: Розробка бізнес-функцій відповідно до вимог проєкту, підтримка та вдосконалення існуючої архітектури  Ownership бекенд-частини: підтримка, стабілізація продукту, моніторинг та інші завдання Ініціювати альтернативні технічні рішення для підвищення стабільності продукту, оцінювати їх переваги і недоліки Комунікувати з командою щодо структури, документації, архітектурних деталей тощо   Ми очікуємо, що у вас: 5+ років досвіду розробки на Python (Flask/FastAPI/Django) Досвід розробки продукту з нуля Досвід розробки REST API Вміння працювати з реляційними базами даних, такими як PostgreSQL Розуміння як визначати пріоритетність завдань і ефективно керувати власним часом Принаймні середній рівень англійської та вільне володіння українською Буде плюсом: Загальне розуміння LLM і досвід роботи з OpenAI API, LangChain, архітектурою мікросервісів, розподіленими системами Знайомство з message brokers Загальні знання сфери безпеки Досвід роботи з Vector базами даних   Процес найму: Screen Call  Tech Interview  Final Interview  Reference Check Offer Компанія пропонує: Гібридний графік/ремоут, що б ви не обрали, офіс завжди працює в режимі коворкінг (м.Київ), річний бюджет на навчання, медичне страхування, курси англійської, участь у благодійних проєктах, можливість брати участь/організовувати tech talks або подкасти, щорічні development compensation review та багато іншого ;)",5plus,віддалено,17 жовтня 2024,,Senior Python Engineer
Covent IT,"As part of the Automation team, you will be responsible for designing and writing automation tests and taking ownership of the CI/CD tools and processes in your team.  You will define and design scalable automated solutions to technology challenges, act as a strategic automation partner of our engineering teams and provide scalability by creating new automation frameworks and tools.  You will also work with the R&D group in Agile teams as an integrated part of the development process.  As an Automation Engineer, your responsibilities will include assessing our automation quality and stability and pushing for improvement and implementation.  Responsibilities   Drive the software quality assurance lifecycle within an Agile process Establish and coordinate test strategies with development/product teams Design and implement test plans and test cases Write integration tests in Python. Develop and execute automated UI and functional tests Enhance and maintain automated CI flows Troubleshoot issues in systems under test Requirements and skills   2+ years of experience as an Automation Engineer. BS/MS degree in Computer Science, Engineering, or a related field. Extensive experience with  Python , capable of writing efficient, maintainable code. Proficient in using  Pytest  for writing and managing test cases. Knowledge of  Kubernetes  for container orchestration and microservices architecture. Experience with  Docker  for containerization. Experience with web application testing and Continuous Integration processes. Will be an advantage: Experience with Azure DevOps, particularly in setting up and managing CI/CD pipelines. Ability to set up and maintain continuous integration and continuous deployment processes. Solid understanding of SQL for database interaction and testing. Experience in writing tests in Playwright using Typescript. Capability to read and understand C# code for integration purposes. Proficient in using Git for version control and collaboration. Experience with load testing platforms to ensure system performance and reliability. The hiring process:   0. Interview with a recruiter — 30 minutes 1. CV review by the hiring manager 2. Technical interview 1 hour 3. Final interview — 1 hour Offer 🥳",5plus,віддалено,17 жовтня 2024,,Python Integration test Engineer
INCOAlliance,"We are seeking a motivated and skilled Full Stack Engineer to join our dynamic team. As a Full Stack Engineer, you will play a crucial role in designing, developing, and maintaining scalable web applications. Requirements: 5+ years of experience building web applications. Proficiency in Python, TypeScript, React, Remix, and AWS. Strong understanding of serverless architecture and DevOps practices. Excellent problem-solving and debugging skills. Ability to work independently and as part of a team. A passion for learning and staying up-to-date with the latest tech. Upper or Fluent English. Responsibilities: Design, develop, and maintain robust and scalable web applications using Python, TypeScript, and frameworks like React and Remix. Collaborate with cross-functional teams to deliver high-quality products. Implement best practices for software development, including version control, testing, and deployment. Stay up-to-date with emerging technologies and industry trends. We offer: Сompetitive compensation based on your skills and experience. 24 days of annual paid vacation and 5 sick leaves. Accounting as a service. Long-term employment. Recruitment process: Introductory interview with HR (30 min) General interview with R&D Manager (45 mins) Live coding interview (45 mins) System design interview (45 mins). Final feedback received within  2-4  days of interview. Please send your CV in English along with your salary expectations if you are a good match for this position.",5plus,віддалено,17 жовтня 2024,,Full Stack Engineer
